anio,fecha,equipo_local,equipo_visitante,resultado_local,resultado_visitante,posesion_local,posesion_visitante,remates_total_local,remates_total_visitante,remates_puerta_local,remates_puerta_visitante,corners_local,corners_visitante,equipo_local_norm,equipo_visitante_norm,posesion_local_num,posesion_visitante_num,remates_total_local_num,remates_total_visitante_num,remates_puerta_local_num,remates_puerta_visitante_num,corners_local_num,corners_visitante_num,resultado_local_num,resultado_visitante_num,diferencia_goles,total_goles,eficiencia_remates_local,eficiencia_remates_visitante,dominio_posesion,resultado,rendimiento_local,rendimiento_visitante,promedio_goles_local,promedio_goles_visitante
2025,28/09/,Deportivo Maipú,Colegiales,1,2,50%,50%,15.0,9.0,8.0,8.0,9.0,3.0,deportivo maipu,colegiales,50.0,50.0,15,9,8,8,9,3,1,2,-1,3,53.333,88.889,0.0,Victoria_Visitante,36.723,36.364,1.028,0.758
2025,28/09/,Alvarado,All Boys,0,0,42%,58%,10.0,4.0,2.0,3.0,4.0,7.0,alvarado,all boys,42.0,58.0,10,4,2,3,4,7,0,0,0,0,20.0,75.0,-16.0,Empate,28.351,30.151,0.887,0.905
2025,28/09/,Club A. Guemes,San Miguel,1,0,54%,46%,8.0,4.0,3.0,0.0,7.0,5.0,club a. guemes,san miguel,54.0,46.0,8,4,3,0,7,5,1,0,1,1,37.5,0.0,8.0,Victoria_Local,28.977,35.714,0.903,0.914
2025,28/09/,Defensores Unidos,Temperley,0,0,42%,58%,9.0,10.0,3.0,5.0,2.0,10.0,defensores unidos,temperley,42.0,58.0,9,10,3,5,2,10,0,0,0,0,33.333,50.0,-16.0,Empate,21.154,33.846,0.712,0.959
2025,28/09/,Deportivo Madryn,Arsenal Sarandí,2,1,56%,44%,4.0,3.0,4.0,2.0,6.0,4.0,deportivo madryn,arsenal sarandi,56.0,44.0,4,3,4,2,6,4,2,1,1,3,100.0,66.667,12.0,Victoria_Local,37.762,22.857,1.077,0.771
2025,28/09/,Los Andes,Ferro Carril Oeste,0,1,49%,51%,12.0,8.0,3.0,7.0,5.0,2.0,los andes,ferro carril oeste,49.0,51.0,12,8,3,7,5,2,0,1,-1,1,25.0,87.5,-2.0,Victoria_Visitante,30.303,35.5,0.848,1.115
2025,28/09/,Patronato,Almagro,0,0,48%,52%,9.0,16.0,6.0,9.0,5.0,5.0,patronato,almagro,48.0,52.0,9,16,6,9,5,5,0,0,0,0,66.667,56.25,-4.0,Empate,30.841,28.283,0.981,0.838
2025,28/09/,Chacarita,Gimnasia Mendoza,1,1,50%,50%,13.0,8.0,10.0,6.0,6.0,5.0,chacarita,gimnasia mendoza,50.0,50.0,13,8,10,6,6,5,1,1,0,2,76.923,75.0,0.0,Empate,33.679,40.777,1.098,1.092
2025,28/09/,Deportivo Morón,CA Mitre,3,0,45%,55%,11.0,5.0,9.0,3.0,3.0,3.0,deportivo moron,ca mitre,45.0,55.0,11,5,9,3,3,3,3,0,3,3,81.818,60.0,-10.0,Victoria_Local,37.879,31.443,0.96,0.907
2025,27/09/,Tristán Suárez,Racing Cordoba,4,1,45%,55%,12.0,9.0,10.0,5.0,6.0,1.0,tristan suarez,racing cordoba,45.0,55.0,12,9,10,5,6,1,4,1,3,5,83.333,55.556,-10.0,Victoria_Local,28.0,32.075,1.103,1.123
2025,27/09/,CA Estudiantes,Colón,1,0,50%,50%,8.0,3.0,7.0,0.0,4.0,3.0,ca estudiantes,colon,50.0,50.0,8,3,7,0,4,3,1,0,1,1,87.5,0.0,0.0,Victoria_Local,39.286,33.803,1.026,0.873
2025,27/09/,Def. de Belgrano,Central Norte,2,0,51%,49%,9.0,10.0,6.0,4.0,8.0,8.0,def. de belgrano,central norte,51.0,49.0,9,10,6,4,8,8,2,0,2,2,66.667,40.0,2.0,Victoria_Local,37.438,30.303,1.01,0.788
2025,27/09/,Talleres (R.E),Chaco For Ever,1,0,50%,50%,6.0,4.0,4.0,2.0,6.0,5.0,talleres (r.e),chaco for ever,50.0,50.0,6,4,4,2,6,5,1,0,1,1,66.667,50.0,0.0,Victoria_Local,19.444,32.374,0.611,0.863
2025,27/09/,Nueva Chicago,Agropecuario,1,0,42%,58%,9.0,6.0,2.0,3.0,5.0,5.0,nueva chicago,agropecuario,42.0,58.0,9,6,2,3,5,5,1,0,1,1,22.222,50.0,-16.0,Victoria_Local,27.273,37.563,0.879,1.091
2025,27/09/,San Telmo,Gimnasia Jujuy,3,2,49%,51%,12.0,23.0,7.0,12.0,4.0,4.0,san telmo,gimnasia jujuy,49.0,51.0,12,23,7,12,4,4,3,2,1,5,58.333,52.174,-2.0,Victoria_Local,31.111,36.923,1.067,0.954
2025,27/09/,Gimnasia y Tiro,Atlanta,2,2,56%,44%,21.0,6.0,8.0,4.0,6.0,5.0,gimnasia y tiro,atlanta,56.0,44.0,21,6,8,4,6,5,2,2,0,4,38.095,66.667,12.0,Empate,35.714,34.392,0.843,0.952
2025,23/09/,All Boys,"Deportivo Madryn
2",0,0,53%,47%,3.0,0.0,2.0,0.0,10.0,5.0,all boys,deportivo madryn 2,53.0,47.0,3,0,2,0,10,5,0,0,0,0,66.667,0.0,6.0,Empate,30.151,0.0,0.905,0.0
